Finca ,Fecha,lluvia 
ISLA GRANDE,04/02/2016,0
ISLA GRANDE,04/02/2017,2.625
ISLA GRANDE,04/02/2018,5
ISLA GRANDE,04/03/2016,7.875
ISLA GRANDE,04/03/2017,3.625
ISLA GRANDE,04/03/2018,0
ISLA GRANDE,04/04/2016,0
ISLA GRANDE,04/04/2017,0
ISLA GRANDE,04/04/2018,0
ISLA GRANDE,04/05/2015,0.125
ISLA GRANDE,04/05/2016,74.75
ISLA GRANDE,04/05/2017,15.25
ISLA GRANDE,04/05/2018,3.625
ISLA GRANDE,04/06/2015,0.625
ISLA GRANDE,04/06/2016,55.75
ISLA GRANDE,04/06/2017,68.25
ISLA GRANDE,04/06/2018,4
ISLA GRANDE,04/07/2015,0.75
ISLA GRANDE,04/07/2016,17.5
ISLA GRANDE,04/07/2017,26.25
ISLA GRANDE,04/07/2018,0
ISLA GRANDE,04/08/2015,0
ISLA GRANDE,04/08/2016,7.75
ISLA GRANDE,04/08/2017,3.625
ISLA GRANDE,04/08/2018,12.75
ISLA GRANDE,04/09/2015,3
ISLA GRANDE,04/09/2016,5.5
ISLA GRANDE,04/09/2017,20.75
ISLA GRANDE,04/09/2018,2
ISLA GRANDE,04/10/2015,0
ISLA GRANDE,04/10/2016,0
ISLA GRANDE,04/10/2017,38
ISLA GRANDE,04/10/2018,1.75
ISLA GRANDE,04/11/2015,13.75
ISLA GRANDE,04/11/2016,4.375
ISLA GRANDE,04/11/2017,0.875
ISLA GRANDE,04/11/2018,0
ISLA GRANDE,04/12/2015,6.625
ISLA GRANDE,04/12/2016,5.25
ISLA GRANDE,04/12/2017,10
ISLA GRANDE,04/12/2018,0
ISLA GRANDE,05/01/2016,0.25
ISLA GRANDE,05/01/2017,1
ISLA GRANDE,05/01/2018,0
ISLA GRANDE,05/01/2019,0
ISLA GRANDE,05/02/2016,0
ISLA GRANDE,05/02/2017,2.125
ISLA GRANDE,05/02/2018,0
ISLA GRANDE,05/03/2016,4
ISLA GRANDE,05/03/2017,1
ISLA GRANDE,05/03/2018,2.825
ISLA GRANDE,05/04/2016,0
ISLA GRANDE,05/04/2017,0
ISLA GRANDE,05/04/2018,0
ISLA GRANDE,05/05/2015,0.375
ISLA GRANDE,05/05/2016,70.25
ISLA GRANDE,05/05/2017,0.125
ISLA GRANDE,05/05/2018,0
ISLA GRANDE,05/06/2015,35.25
ISLA GRANDE,05/06/2016,149.5
ISLA GRANDE,05/06/2017,0
ISLA GRANDE,05/06/2018,11.625
ISLA GRANDE,05/07/2015,2.25
ISLA GRANDE,05/07/2016,8.875
ISLA GRANDE,05/07/2017,23.875
ISLA GRANDE,05/07/2018,2.75
ISLA GRANDE,05/08/2015,0
ISLA GRANDE,05/08/2016,17.5
ISLA GRANDE,05/08/2017,3.25
ISLA GRANDE,05/08/2018,5.25
ISLA GRANDE,05/09/2015,5.625
ISLA GRANDE,05/09/2016,17.375
ISLA GRANDE,05/09/2017,2.25
ISLA GRANDE,05/09/2018,0
ISLA GRANDE,05/10/2015,0
ISLA GRANDE,05/10/2016,2.5
ISLA GRANDE,05/10/2017,46.9
ISLA GRANDE,05/10/2018,32.625
ISLA GRANDE,05/11/2015,0
ISLA GRANDE,05/11/2016,3.125
ISLA GRANDE,05/11/2017,0
ISLA GRANDE,05/11/2018,3.375
ISLA GRANDE,05/12/2015,20.5
ISLA GRANDE,05/12/2016,2.625
ISLA GRANDE,05/12/2017,9.375
ISLA GRANDE,05/12/2018,4.5
ISLA GRANDE,06/01/2016,0
ISLA GRANDE,06/01/2017,2.125
ISLA GRANDE,06/01/2018,0
ISLA GRANDE,06/01/2019,0
ISLA GRANDE,06/02/2016,0
ISLA GRANDE,06/02/2017,1
ISLA GRANDE,06/02/2018,0.125
ISLA GRANDE,06/03/2016,1.125
ISLA GRANDE,06/03/2017,1.5
ISLA GRANDE,06/03/2018,0
ISLA GRANDE,06/04/2016,0
ISLA GRANDE,06/04/2017,0
ISLA GRANDE,06/04/2018,0
ISLA GRANDE,06/05/2015,1.75
ISLA GRANDE,06/05/2016,0.875
ISLA GRANDE,06/05/2017,29.75
ISLA GRANDE,06/05/2018,0
ISLA GRANDE,06/06/2015,2.25
ISLA GRANDE,06/06/2016,5.375
ISLA GRANDE,06/06/2017,1.75
ISLA GRANDE,06/06/2018,19.125
ISLA GRANDE,06/07/2015,4
ISLA GRANDE,06/07/2016,7.5
ISLA GRANDE,06/07/2017,40.5
ISLA GRANDE,06/07/2018,9.125
ISLA GRANDE,06/08/2015,9.666666667
ISLA GRANDE,06/08/2016,0
ISLA GRANDE,06/08/2017,0
ISLA GRANDE,06/08/2018,2.875
ISLA GRANDE,06/09/2015,56.75
ISLA GRANDE,06/09/2016,16.75
ISLA GRANDE,06/09/2017,0
ISLA GRANDE,06/09/2018,15.75
ISLA GRANDE,06/10/2015,0
ISLA GRANDE,06/10/2016,2.875
ISLA GRANDE,06/10/2017,17.5
ISLA GRANDE,06/10/2018,5.625
ISLA GRANDE,06/11/2015,0
ISLA GRANDE,06/11/2016,1.875
ISLA GRANDE,06/11/2017,2.25
ISLA GRANDE,06/11/2018,0.375
ISLA GRANDE,06/12/2015,9
ISLA GRANDE,06/12/2016,0
ISLA GRANDE,06/12/2017,35.125
ISLA GRANDE,06/12/2018,2
ISLA GRANDE,07/01/2016,37.75
ISLA GRANDE,07/01/2017,3.125
ISLA GRANDE,07/01/2018,0
ISLA GRANDE,07/01/2019,0
ISLA GRANDE,07/02/2016,0
ISLA GRANDE,07/02/2017,0
ISLA GRANDE,07/02/2018,4.625
ISLA GRANDE,07/03/2016,0
ISLA GRANDE,07/03/2017,10.875
ISLA GRANDE,07/03/2018,0
ISLA GRANDE,07/04/2016,0
ISLA GRANDE,07/04/2017,0
ISLA GRANDE,07/04/2018,0
ISLA GRANDE,07/05/2015,0
ISLA GRANDE,07/05/2016,0
ISLA GRANDE,07/05/2017,14
ISLA GRANDE,07/05/2018,0
ISLA GRANDE,07/06/2015,1.625
ISLA GRANDE,07/06/2016,0.375
ISLA GRANDE,07/06/2017,0
ISLA GRANDE,07/06/2018,1.75
ISLA GRANDE,07/07/2015,12.625
ISLA GRANDE,07/07/2016,4
ISLA GRANDE,07/07/2017,6.125
ISLA GRANDE,07/07/2018,30.75
ISLA GRANDE,07/08/2015,5.833333333
ISLA GRANDE,07/08/2016,0
ISLA GRANDE,07/08/2017,1.5
ISLA GRANDE,07/08/2018,35.25
ISLA GRANDE,07/09/2015,8.875
ISLA GRANDE,07/09/2016,19.625
ISLA GRANDE,07/09/2017,0.375
ISLA GRANDE,07/09/2018,0
ISLA GRANDE,07/10/2015,19
ISLA GRANDE,07/10/2016,15.25
ISLA GRANDE,07/10/2017,0
ISLA GRANDE,07/10/2018,0
ISLA GRANDE,07/11/2015,0
ISLA GRANDE,07/11/2016,0
ISLA GRANDE,07/11/2017,1.375
ISLA GRANDE,07/11/2018,4.5
ISLA GRANDE,07/12/2015,5.25
ISLA GRANDE,07/12/2016,0
ISLA GRANDE,07/12/2017,0.5
ISLA GRANDE,07/12/2018,52.75
ISLA GRANDE,08/01/2016,0.375
ISLA GRANDE,08/01/2017,4
ISLA GRANDE,08/01/2018,0
ISLA GRANDE,08/01/2019,0
ISLA GRANDE,08/02/2016,0
ISLA GRANDE,08/02/2017,0
ISLA GRANDE,08/02/2018,4
ISLA GRANDE,08/03/2016,0
ISLA GRANDE,08/03/2017,0
ISLA GRANDE,08/03/2018,0
ISLA GRANDE,08/04/2016,0
ISLA GRANDE,08/04/2017,0
ISLA GRANDE,08/04/2018,0
ISLA GRANDE,08/05/2015,2.5
ISLA GRANDE,08/05/2016,0
ISLA GRANDE,08/05/2017,24.5
ISLA GRANDE,08/05/2018,0
ISLA GRANDE,08/06/2015,7.25
ISLA GRANDE,08/06/2016,13.25
ISLA GRANDE,08/06/2017,0
ISLA GRANDE,08/06/2018,13.625
ISLA GRANDE,08/07/2015,67.875
ISLA GRANDE,08/07/2016,13.25
ISLA GRANDE,08/07/2017,36.5
ISLA GRANDE,08/07/2018,3.25
ISLA GRANDE,08/08/2015,1.625
ISLA GRANDE,08/08/2016,0
ISLA GRANDE,08/08/2017,0
ISLA GRANDE,08/08/2018,50
ISLA GRANDE,08/09/2015,5
ISLA GRANDE,08/09/2016,3
ISLA GRANDE,08/09/2017,0.875
ISLA GRANDE,08/09/2018,6.25
ISLA GRANDE,08/10/2015,10.25
ISLA GRANDE,08/10/2016,5.875
ISLA GRANDE,08/10/2017,0
ISLA GRANDE,08/10/2018,0
ISLA GRANDE,08/11/2015,6.75
ISLA GRANDE,08/11/2016,0
ISLA GRANDE,08/11/2017,0.625
ISLA GRANDE,08/11/2018,3.875
ISLA GRANDE,08/12/2015,0.5
ISLA GRANDE,08/12/2016,6.625
ISLA GRANDE,08/12/2017,14.5
ISLA GRANDE,08/12/2018,16.375
ISLA GRANDE,09/01/2016,0
ISLA GRANDE,09/01/2017,5.25
ISLA GRANDE,09/01/2018,0
ISLA GRANDE,09/01/2019,0
ISLA GRANDE,09/02/2016,0
ISLA GRANDE,09/02/2017,0
ISLA GRANDE,09/02/2018,3.625
ISLA GRANDE,09/03/2016,0
ISLA GRANDE,09/03/2017,0
ISLA GRANDE,09/03/2018,0.95
ISLA GRANDE,09/04/2016,0
ISLA GRANDE,09/04/2017,0
ISLA GRANDE,09/04/2018,0
ISLA GRANDE,09/05/2015,0
ISLA GRANDE,09/05/2016,0
ISLA GRANDE,09/05/2017,18.75
ISLA GRANDE,09/05/2018,0
ISLA GRANDE,09/06/2015,0.5625
ISLA GRANDE,09/06/2016,3.25
ISLA GRANDE,09/06/2017,18.25
ISLA GRANDE,09/06/2018,42.5
ISLA GRANDE,09/07/2015,6.25
ISLA GRANDE,09/07/2016,11.625
ISLA GRANDE,09/07/2017,45.25
ISLA GRANDE,09/07/2018,8.5
ISLA GRANDE,09/08/2015,11.75
ISLA GRANDE,09/08/2016,5.75
ISLA GRANDE,09/08/2017,0.75
ISLA GRANDE,09/08/2018,7.625
ISLA GRANDE,09/09/2015,17.75
ISLA GRANDE,09/09/2016,13
ISLA GRANDE,09/09/2017,8.75
ISLA GRANDE,09/09/2018,35.75
ISLA GRANDE,09/10/2015,6.375
ISLA GRANDE,09/10/2016,13.25
ISLA GRANDE,09/10/2017,0
ISLA GRANDE,09/10/2018,0
ISLA GRANDE,09/11/2015,19.25
ISLA GRANDE,09/11/2017,1.125
ISLA GRANDE,09/11/2018,5.5
ISLA GRANDE,09/12/2015,7.625
ISLA GRANDE,09/12/2016,14.5
ISLA GRANDE,09/12/2017,0.5
ISLA GRANDE,09/12/2018,4
ISLA GRANDE,10/01/2016,0
ISLA GRANDE,10/01/2017,4.625
ISLA GRANDE,10/01/2018,6
ISLA GRANDE,10/01/2019,0
ISLA GRANDE,10/02/2016,0
ISLA GRANDE,10/02/2017,0
ISLA GRANDE,10/02/2018,8
ISLA GRANDE,10/03/2016,0
ISLA GRANDE,10/03/2017,0
ISLA GRANDE,10/03/2018,0
ISLA GRANDE,10/04/2016,0
ISLA GRANDE,10/04/2017,0
ISLA GRANDE,10/04/2018,0
ISLA GRANDE,10/05/2015,0
ISLA GRANDE,10/05/2016,0
ISLA GRANDE,10/05/2017,7.375
ISLA GRANDE,10/05/2018,0
ISLA GRANDE,10/06/2015,1.75
ISLA GRANDE,10/06/2016,38.25
ISLA GRANDE,10/06/2017,2.125
ISLA GRANDE,10/06/2018,39.25
ISLA GRANDE,10/07/2015,11.25
ISLA GRANDE,10/07/2016,10.25
ISLA GRANDE,10/07/2017,44.5
ISLA GRANDE,10/07/2018,0.55
ISLA GRANDE,10/08/2015,20
ISLA GRANDE,10/08/2016,4.125
ISLA GRANDE,10/08/2017,0
ISLA GRANDE,10/08/2018,10.625
ISLA GRANDE,10/09/2015,41.5
ISLA GRANDE,10/09/2016,3.125
ISLA GRANDE,10/09/2017,0
ISLA GRANDE,10/09/2018,18.5
ISLA GRANDE,10/10/2015,13.25
ISLA GRANDE,10/10/2016,29.25
ISLA GRANDE,10/10/2017,0
ISLA GRANDE,10/10/2018,0
ISLA GRANDE,10/11/2015,1.375
ISLA GRANDE,10/11/2016,0
ISLA GRANDE,10/11/2017,2.375
ISLA GRANDE,10/11/2018,0
ISLA GRANDE,10/12/2015,2.75
ISLA GRANDE,10/12/2016,29.375
ISLA GRANDE,10/12/2017,0.25
ISLA GRANDE,10/12/2018,0
ISLA GRANDE,11/01/2016,0
ISLA GRANDE,11/01/2017,13.25
ISLA GRANDE,11/01/2019,0
ISLA GRANDE,11/02/2016,0
ISLA GRANDE,11/02/2017,6.75
ISLA GRANDE,11/02/2018,7
ISLA GRANDE,11/03/2016,0.125
ISLA GRANDE,11/03/2017,0
ISLA GRANDE,11/03/2018,0
ISLA GRANDE,11/04/2016,0.75
ISLA GRANDE,11/04/2017,0
ISLA GRANDE,11/04/2018,0
ISLA GRANDE,11/05/2015,1.5
ISLA GRANDE,11/05/2016,0
ISLA GRANDE,11/05/2017,0.625
ISLA GRANDE,11/05/2018,0
ISLA GRANDE,11/06/2015,28.75
ISLA GRANDE,11/06/2016,1.375
ISLA GRANDE,11/06/2017,37.5
ISLA GRANDE,11/06/2018,23.75
ISLA GRANDE,11/07/2015,31.25
ISLA GRANDE,11/07/2016,48.75
ISLA GRANDE,11/07/2017,15
ISLA GRANDE,11/07/2018,4.625
ISLA GRANDE,11/08/2015,2.125
ISLA GRANDE,11/08/2016,15.25
ISLA GRANDE,11/08/2017,0.375
ISLA GRANDE,11/08/2018,7
ISLA GRANDE,11/09/2015,5.125
ISLA GRANDE,11/09/2016,3.125
ISLA GRANDE,11/09/2017,50
ISLA GRANDE,11/09/2018,0
ISLA GRANDE,11/10/2015,12.5
ISLA GRANDE,11/10/2016,7.5
ISLA GRANDE,11/10/2017,3.75
ISLA GRANDE,11/10/2018,0
ISLA GRANDE,11/11/2015,7
ISLA GRANDE,11/11/2017,0.875
ISLA GRANDE,11/11/2018,11
ISLA GRANDE,11/12/2015,2.125
ISLA GRANDE,11/12/2016,48.25
ISLA GRANDE,11/12/2017,0
ISLA GRANDE,11/12/2018,0
ISLA GRANDE,12/01/2016,0
ISLA GRANDE,12/01/2017,32.25
ISLA GRANDE,12/01/2018,0
ISLA GRANDE,12/01/2019,0
ISLA GRANDE,12/02/2016,0
ISLA GRANDE,12/02/2017,2
ISLA GRANDE,12/02/2018,0.5
ISLA GRANDE,12/03/2016,0
ISLA GRANDE,12/03/2017,0.125
ISLA GRANDE,12/03/2018,0
ISLA GRANDE,12/04/2016,0
ISLA GRANDE,12/04/2017,0
ISLA GRANDE,12/04/2018,0
ISLA GRANDE,12/05/2015,0.25
ISLA GRANDE,12/05/2016,0
ISLA GRANDE,12/05/2017,46
ISLA GRANDE,12/05/2018,0
ISLA GRANDE,12/06/2015,1.5
ISLA GRANDE,12/06/2016,14
ISLA GRANDE,12/06/2017,4.375
ISLA GRANDE,12/06/2018,2.5
ISLA GRANDE,12/07/2015,20.5
ISLA GRANDE,12/07/2016,31.66666667
ISLA GRANDE,12/07/2017,1.375
ISLA GRANDE,12/07/2018,68.25
ISLA GRANDE,12/08/2015,5.875
ISLA GRANDE,12/08/2016,7.625
ISLA GRANDE,12/08/2017,1.25
ISLA GRANDE,12/08/2018,6.5
ISLA GRANDE,12/09/2015,14
ISLA GRANDE,12/09/2016,1.375
ISLA GRANDE,12/09/2017,21
ISLA GRANDE,12/09/2018,0
ISLA GRANDE,12/10/2015,4.625
ISLA GRANDE,12/10/2016,25.5
ISLA GRANDE,12/10/2017,0
ISLA GRANDE,12/10/2018,0
ISLA GRANDE,12/11/2015,1.25
ISLA GRANDE,12/11/2016,25.125
ISLA GRANDE,12/11/2017,0
ISLA GRANDE,12/11/2018,32.5
ISLA GRANDE,12/12/2015,11.5
ISLA GRANDE,12/12/2016,74.5
ISLA GRANDE,12/12/2017,0
ISLA GRANDE,12/12/2018,0.75
ISLA GRANDE,13/01/2016,0
ISLA GRANDE,13/01/2017,35
ISLA GRANDE,13/01/2018,0
ISLA GRANDE,13/01/2019,0
ISLA GRANDE,13/02/2016,0
ISLA GRANDE,13/02/2017,3.375
ISLA GRANDE,13/02/2018,14.625
ISLA GRANDE,13/03/2016,0
ISLA GRANDE,13/03/2017,0
ISLA GRANDE,13/03/2018,0
ISLA GRANDE,13/04/2016,0
ISLA GRANDE,13/04/2017,0
ISLA GRANDE,13/04/2018,0
ISLA GRANDE,13/05/2015,0
ISLA GRANDE,13/05/2016,5.75
ISLA GRANDE,13/05/2017,0
ISLA GRANDE,13/05/2018,0.375
ISLA GRANDE,13/06/2015,0.125
ISLA GRANDE,13/06/2016,18.75
ISLA GRANDE,13/06/2017,11.875
ISLA GRANDE,13/06/2018,0
ISLA GRANDE,13/07/2015,17.75
ISLA GRANDE,13/07/2016,26
ISLA GRANDE,13/07/2017,2
ISLA GRANDE,13/07/2018,1.75
ISLA GRANDE,13/08/2015,2.25
ISLA GRANDE,13/08/2016,0
ISLA GRANDE,13/08/2017,1
ISLA GRANDE,13/08/2018,13.5
ISLA GRANDE,13/09/2015,17.75
ISLA GRANDE,13/09/2016,5.75
ISLA GRANDE,13/09/2017,0
ISLA GRANDE,13/09/2018,1.625
ISLA GRANDE,13/10/2015,13
ISLA GRANDE,13/10/2016,4.875
ISLA GRANDE,13/10/2017,0
ISLA GRANDE,13/10/2018,16.5
ISLA GRANDE,13/11/2015,5.1
ISLA GRANDE,13/11/2016,12.375
ISLA GRANDE,13/11/2017,16
ISLA GRANDE,13/11/2018,6.5
ISLA GRANDE,13/12/2015,0
ISLA GRANDE,13/12/2016,41.75
ISLA GRANDE,13/12/2017,0
ISLA GRANDE,13/12/2018,4.375
ISLA GRANDE,14/01/2016,6
ISLA GRANDE,14/01/2017,14
ISLA GRANDE,14/01/2018,0
ISLA GRANDE,14/01/2019,20.375
ISLA GRANDE,14/02/2016,2.625
ISLA GRANDE,14/02/2017,1.375
ISLA GRANDE,14/02/2018,6.375
ISLA GRANDE,14/03/2016,0
ISLA GRANDE,14/03/2017,0
ISLA GRANDE,14/03/2018,0
ISLA GRANDE,14/04/2016,0
ISLA GRANDE,14/04/2017,0
ISLA GRANDE,14/04/2018,3
ISLA GRANDE,14/05/2015,0
ISLA GRANDE,14/05/2016,0
ISLA GRANDE,14/05/2017,2.125
ISLA GRANDE,14/05/2018,0
ISLA GRANDE,14/06/2015,0.5
ISLA GRANDE,14/06/2016,4.375
ISLA GRANDE,14/06/2017,6.75
ISLA GRANDE,14/06/2018,2.5
ISLA GRANDE,14/07/2015,0.625
ISLA GRANDE,14/07/2016,32.66666667
ISLA GRANDE,14/07/2017,9.5
ISLA GRANDE,14/07/2018,2.75
ISLA GRANDE,14/08/2015,16.75
ISLA GRANDE,14/08/2016,3.125
ISLA GRANDE,14/08/2017,12
ISLA GRANDE,14/08/2018,41.5
ISLA GRANDE,14/09/2015,2.625
ISLA GRANDE,14/09/2016,5.75
ISLA GRANDE,14/09/2017,1.25
ISLA GRANDE,14/09/2018,14.5
ISLA GRANDE,14/10/2015,0
ISLA GRANDE,14/10/2016,22.625
ISLA GRANDE,14/10/2017,0
ISLA GRANDE,14/10/2018,0
ISLA GRANDE,14/11/2015,3.5
ISLA GRANDE,14/11/2016,5.5
ISLA GRANDE,14/11/2017,27.625
ISLA GRANDE,14/11/2018,26
ISLA GRANDE,14/12/2015,7.25
ISLA GRANDE,14/12/2016,12.25
ISLA GRANDE,14/12/2017,0
ISLA GRANDE,14/12/2018,0
ISLA GRANDE,15/01/2016,0
ISLA GRANDE,15/01/2017,5.875
ISLA GRANDE,15/01/2018,0
ISLA GRANDE,15/01/2019,37.5
ISLA GRANDE,15/02/2016,4.75
ISLA GRANDE,15/02/2017,0
ISLA GRANDE,15/02/2018,8.25
ISLA GRANDE,15/03/2016,0
ISLA GRANDE,15/03/2017,0
ISLA GRANDE,15/03/2018,0
ISLA GRANDE,15/04/2016,0
ISLA GRANDE,15/04/2017,17
ISLA GRANDE,15/04/2018,0
ISLA GRANDE,15/05/2015,0
ISLA GRANDE,15/05/2016,2
ISLA GRANDE,15/05/2017,51.5
ISLA GRANDE,15/05/2018,0
ISLA GRANDE,15/06/2015,3.125
ISLA GRANDE,15/06/2016,0.5
ISLA GRANDE,15/06/2017,8.25
ISLA GRANDE,15/06/2018,6.5
ISLA GRANDE,15/07/2015,0
ISLA GRANDE,15/07/2016,7.333333333
ISLA GRANDE,15/07/2017,0
ISLA GRANDE,15/07/2018,107
ISLA GRANDE,15/08/2015,29.33333333
ISLA GRANDE,15/08/2016,0
ISLA GRANDE,15/08/2017,4.5
ISLA GRANDE,15/08/2018,1
ISLA GRANDE,15/09/2015,6.625
ISLA GRANDE,15/09/2016,5.25
ISLA GRANDE,15/09/2017,13
ISLA GRANDE,15/09/2018,13.5
ISLA GRANDE,15/10/2015,0
ISLA GRANDE,15/10/2016,40.625
ISLA GRANDE,15/10/2017,0
ISLA GRANDE,15/10/2018,0
ISLA GRANDE,15/11/2015,4.75
ISLA GRANDE,15/11/2016,0
ISLA GRANDE,15/11/2017,12.875
ISLA GRANDE,15/11/2018,12.25
ISLA GRANDE,15/12/2015,0
ISLA GRANDE,15/12/2016,5.625
ISLA GRANDE,15/12/2017,0
ISLA GRANDE,15/12/2018,0
ISLA GRANDE,16/01/2016,0
ISLA GRANDE,16/01/2017,14.5
ISLA GRANDE,16/01/2018,0.125
ISLA GRANDE,16/01/2019,33.625
ISLA GRANDE,16/02/2016,0
ISLA GRANDE,16/02/2017,0
ISLA GRANDE,16/02/2018,24.75
ISLA GRANDE,16/03/2016,0
ISLA GRANDE,16/03/2017,6
ISLA GRANDE,16/03/2018,2
ISLA GRANDE,16/04/2016,0
ISLA GRANDE,16/04/2017,0
ISLA GRANDE,16/04/2018,0
ISLA GRANDE,16/05/2015,2.75
ISLA GRANDE,16/05/2016,47.25
ISLA GRANDE,16/05/2017,0
ISLA GRANDE,16/05/2018,0
ISLA GRANDE,16/06/2015,1.875
ISLA GRANDE,16/06/2016,14.25
ISLA GRANDE,16/06/2017,8.875
ISLA GRANDE,16/06/2018,6.75
ISLA GRANDE,16/07/2015,0.5
ISLA GRANDE,16/07/2016,2.625
ISLA GRANDE,16/07/2017,3.125
